gDBWS - Graphic data export Powder v3.beta  -  21/12/00 10:40:00 AM
2 theta,   I obs,    I calc,  I obs - I calc 
 22.42    334.0      233.0      101.0  
 22.44    340.0      232.0      108.0  
 22.46    375.0      232.0      143.0  
 22.48    322.0      232.0      90.0   
 22.5     328.0      232.0      96.0   
 22.52    382.0      232.0      150.0  
 22.54    342.0      232.0      110.0  
 22.56    337.0      232.0      105.0  
 22.58    336.0      231.0      105.0  
 22.6     343.0      231.0      112.0  
 22.62    330.0      231.0      99.0   
 22.64    348.0      231.0      117.0  
 22.66    338.0      231.0      107.0  
 22.68    381.0      231.0      150.0  
 22.7     374.0      231.0      143.0  
 22.72    398.0      230.0      168.0  
 22.74    361.0      230.0      131.0  
 22.76    420.0      230.0      190.0  
 22.78    470.0      230.0      240.0  
 22.8     541.0      230.0      311.0  
 22.82    646.0      230.0      416.0  
 22.84    852.0      230.0      622.0  
 22.86    1249.0     230.0      19.0   
 22.88    1664.0     229.0      435.0  
 22.9     1651.0     229.0      422.0  
 22.92    1488.0     229.0      259.0  
 22.94    1188.0     229.0      959.0  
 22.96    1008.0     229.0      779.0  
 22.98    775.0      229.0      546.0  
 23.0     493.0      229.0      264.0  
 23.02    443.0      228.0      215.0  
 23.04    393.0      228.0      165.0  
 23.06    349.0      228.0      121.0  
 23.08    340.0      228.0      112.0  
 23.1     332.0      228.0      104.0  
 23.12    317.0      228.0      89.0   
 23.14    325.0      228.0      97.0   
 23.16    352.0      228.0      124.0  
 23.18    312.0      227.0      85.0   
 23.2     318.0      227.0      91.0   
 23.22    302.0      227.0      75.0   
 23.24    340.0      227.0      113.0  
 23.26    321.0      227.0      94.0   
 23.28    327.0      227.0      100.0  
 23.3     350.0      227.0      123.0  
 23.32    315.0      226.0      89.0   
 23.34    308.0      226.0      82.0   
 23.36    289.0      226.0      63.0   
 23.38    320.0      226.0      94.0   
 23.4     306.0      226.0      80.0   
 23.42    280.0      226.0      54.0   
 23.44    343.0      226.0      117.0  
 23.46    322.0      226.0      96.0   
 23.48    337.0      225.0      112.0  
 23.5     292.0      225.0      67.0   
 23.52    309.0      225.0      84.0   
 23.54    325.0      225.0      100.0  
 23.56    327.0      225.0      102.0  
 23.58    328.0      225.0      103.0  
 23.6     274.0      225.0      49.0   
 23.62    277.0      225.0      52.0   
 23.64    279.0      224.0      55.0   
 23.66    317.0      224.0      93.0   
 23.68    340.0      224.0      116.0  
 23.7     264.0      224.0      40.0   
 23.72    290.0      224.0      66.0   
 23.74    322.0      224.0      98.0   
 23.76    297.0      224.0      73.0   
 23.78    280.0      223.0      57.0   
 23.8     293.0      223.0      70.0   
 23.82    306.0      223.0      83.0   
 23.84    282.0      223.0      59.0   
 23.86    295.0      223.0      72.0   
 23.88    299.0      223.0      76.0   
 23.9     269.0      223.0      46.0   
 23.92    308.0      223.0      85.0   
 23.94    342.0      222.0      120.0  
 23.96    295.0      222.0      73.0   
 23.98    304.0      222.0      82.0   
 24.0     306.0      222.0      84.0   
 24.02    320.0      222.0      98.0   
 24.04    295.0      222.0      73.0   
 24.06    276.0      222.0      54.0   
 24.08    304.0      221.0      83.0   
 24.1     269.0      221.0      48.0   
 24.12    299.0      221.0      78.0   
 24.14    312.0      221.0      91.0   
 24.16    307.0      221.0      86.0   
 24.18    279.0      221.0      58.0   
 24.2     259.0      221.0      38.0   
 24.22    272.0      221.0      51.0   
 24.24    299.0      220.0      79.0   
 24.26    295.0      220.0      75.0   
 24.28    305.0      220.0      85.0   
 24.3     299.0      220.0      79.0   
 24.32    325.0      220.0      105.0  
 24.34    270.0      220.0      50.0   
 24.36    304.0      220.0      84.0   
 24.38    290.0      220.0      70.0   
 24.4     259.0      219.0      40.0   
 24.42    291.0      219.0      72.0   
 24.44    285.0      219.0      66.0   
 24.46    279.0      219.0      60.0   
 24.48    284.0      219.0      65.0   
 24.5     288.0      219.0      69.0   
 24.52    258.0      219.0      39.0   
 24.54    304.0      219.0      85.0   
 24.56    266.0      218.0      48.0   
 24.58    276.0      218.0      58.0   
 24.6     292.0      218.0      74.0   
 24.62    296.0      218.0      78.0   
 24.64    289.0      218.0      71.0   
 24.66    283.0      218.0      65.0   
 24.68    269.0      218.0      51.0   
 24.7     271.0      217.0      54.0   
 24.72    329.0      217.0      112.0  
 24.74    311.0      217.0      94.0   
 24.76    327.0      217.0      110.0  
 24.78    285.0      217.0      68.0   
 24.8     284.0      217.0      67.0   
 24.82    259.0      217.0      42.0   
 24.84    307.0      217.0      90.0   
 24.86    313.0      216.0      97.0   
 24.88    294.0      216.0      78.0   
 24.9     258.0      216.0      42.0   
 24.92    267.0      216.0      51.0   
 24.94    271.0      216.0      55.0   
 24.96    295.0      216.0      79.0   
 24.98    277.0      216.0      61.0   
 25.0     260.0      216.0      44.0   
 25.02    264.0      219.0      45.0   
 25.04    289.0      220.0      69.0   
 25.06    277.0      220.0      57.0   
 25.08    261.0      221.0      40.0   
 25.1     302.0      221.0      81.0   
 25.12    301.0      222.0      79.0   
 25.14    306.0      223.0      83.0   
 25.16    331.0      225.0      106.0  
 25.18    277.0      226.0      51.0   
 25.2     334.0      229.0      105.0  
 25.22    320.0      232.0      88.0   
 25.24    278.0      256.0      22.0   
 25.26    301.0      263.0      38.0   
 25.28    325.0      272.0      53.0   
 25.3     339.0      285.0      54.0   
 25.32    368.0      316.0      52.0   
 25.34    385.0      357.0      28.0   
 25.36    490.0      442.0      48.0   
 25.38    641.0      587.0      54.0   
 25.4     739.0      754.0      -15.0  
 25.42    779.0      797.0      -18.0  
 25.44    684.0      708.0      -24.0  
 25.46    570.0      648.0      -78.0  
 25.48    560.0      602.0      -42.0  
 25.5     524.0      511.0      13.0   
 25.52    502.0      436.0      66.0   
 25.54    457.0      404.0      53.0   
 25.56    470.0      404.0      66.0   
 25.58    490.0      424.0      66.0   
 25.6     511.0      456.0      55.0   
 25.62    571.0      501.0      70.0   
 25.64    627.0      563.0      64.0   
 25.66    661.0      646.0      15.0   
 25.68    845.0      763.0      82.0   
 25.7     1016.0     937.0      79.0   
 25.72    1446.0     1231.0     215.0  
 25.74    2133.0     1834.0     299.0  
 25.76    3618.0     3123.0     495.0  
 25.78    6183.0     5387.0     796.0  
 25.8     8558.0     7985.0     573.0  
 25.82    8354.0     8582.0     228.0  
 25.84    7182.0     6991.0     191.0  
 25.86    5297.0     5881.0     584.0  
 25.88    4445.0     5056.0     611.0  
 25.9     3426.0     3426.0     .0     
 25.92    1796.0     1933.0     137.0  
 25.94    881.0      1077.0     196.0  
 25.96    682.0      683.0      -1.0   
 25.98    579.0      512.0      67.0   
 26.0     561.0      430.0      131.0  
 26.02    502.0      382.0      120.0  
 26.04    444.0      349.0      95.0   
 26.06    407.0      326.0      81.0   
 26.08    376.0      310.0      66.0   
 26.1     321.0      297.0      24.0   
 26.12    306.0      286.0      20.0   
 26.14    307.0      278.0      29.0   
 26.16    283.0      272.0      11.0   
 26.18    284.0      266.0      18.0   
 26.2     287.0      261.0      26.0   
 26.22    289.0      257.0      32.0   
 26.24    225.0      253.0      -28.0  
 26.26    294.0      249.0      45.0   
 26.28    267.0      246.0      21.0   
 26.3     255.0      244.0      11.0   
 26.32    274.0      241.0      33.0   
 26.34    247.0      239.0      8.0    
 26.36    257.0      237.0      20.0   
 26.38    261.0      235.0      26.0   
 26.4     253.0      233.0      20.0   
 26.42    277.0      231.0      46.0   
 26.44    246.0      215.0      31.0   
 26.46    284.0      215.0      69.0   
 26.48    251.0      214.0      37.0   
 26.5     268.0      206.0      62.0   
 26.52    279.0      206.0      73.0   
 26.54    236.0      206.0      30.0   
 26.56    257.0      206.0      51.0   
 26.58    240.0      206.0      34.0   
 26.6     242.0      205.0      37.0   
 26.62    249.0      205.0      44.0   
 26.64    237.0      205.0      32.0   
 26.66    262.0      205.0      57.0   
 26.68    253.0      205.0      48.0   
 26.7     262.0      205.0      57.0   
 26.72    223.0      205.0      18.0   
 26.74    223.0      205.0      18.0   
 26.76    244.0      204.0      40.0   
 26.78    232.0      204.0      28.0   
 26.8     243.0      204.0      39.0   
 26.82    248.0      204.0      44.0   
 26.84    229.0      204.0      25.0   
 26.86    239.0      204.0      35.0   
 26.88    229.0      204.0      25.0   
 26.9     223.0      204.0      19.0   
 26.92    240.0      203.0      37.0   
